ListName,DomainOwner,CRMType,PullOwner
PiecePartVendorUDA_S33_PULL,AIT,Direct Pull Special,PIC
PMCounterReset_S33_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_S33_PULL,MES,Direct Pull,PIC
ProductCodeGroup_S33_PULL,MES,Users,Users
ProductAutoAdjustMapping_S33_PULL,MES,Users,Users
ProductPackageFamily_S33_PULL,MES,Users,Users
ProductPackageType_S33_PULL,MES,Users,Users
PxCascadeTrack2_S33_PULL,AMO/L8,MCCB,PIC
ReelDieLossCodes_S33_PULL,AIT,Users,Users
ReworkCauses_S33_PULL,WIP,Direct Pull,PIC
SorterAction_S33_PULL,WIP,Direct Pull,PIC
StartsQueueConfiguration_S33_PULL,AIT,Direct Pull,PIC
TALAExcludedUDAUpdate_S33_PULL,AIT,Direct Pull,PIC
TimerDefinition_S33_PULL,AIT,Direct Pull,PIC
TimerOperEvents_S33_PULL,AIT,Direct Pull,PIC
TWAttributesReset_S33_PULL,MES,Direct Pull,PIC
UndoAllowedIntermediateTransactions_S33_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_S33_PULL,WIP,MCCB,MES
WaferDieBonusCodes_S33_PULL,MES,Users,Users
WaferDieLossCodes_S33_PULL,MES,Users,Users
WIPSteeringConfigurationEx_S33_PULL,AIT,Direct Pull,PIC
AMQueueCompareConfig_F26_PULL,AMO/L8,MCCB,PIC
AreaModuleValidation_F26_PULL,AIT,Direct Pull,PIC
